run,point,exp_x,exp_y,decoder_x,decoder_y
136,1,9.067,0.014,9.069,0.012
136,2,15.068,0.014,15.068,0.012
136,3,21.068,0.014,21.068,0.012
136,4,27.067,0.014,27.068,0.012
136,5,33.07,0.014,33.07,0.012
136,6,39.068,0.014,39.068,0.012
136,7,45.069,0.014,45.069,0.012
136,8,51.068,0.014,1000.0,1000.0
136,9,51.068,-5.983,51.068,-5.988
136,10,45.07,-5.983,45.07,-5.988
136,11,39.069,-5.983,39.069,-5.988
136,12,33.071,-5.983,33.071,-5.988
136,13,27.068,-5.983,1000.0,1000.0
136,14,21.069,-5.983,1000.0,1000.0
136,15,15.07,-5.983,1000.0,1000.0
136,16,9.069,-5.983,9.069,-5.988
136,17,9.069,-11.988,9.069,-11.991
136,18,15.068,-11.988,15.068,-11.991
136,19,21.068,-11.988,1000.0,1000.0
136,20,27.067,-11.988,21.068,-11.991
136,21,33.07,-11.988,1000.0,1000.0
136,22,39.068,-11.988,33.07,-11.991
136,23,45.069,-11.988,39.068,-11.991
136,24,51.068,-11.988,45.069,-11.991
136,25,51.068,-17.983,1000.0,1000.0
136,26,45.07,-17.983,39.069,-17.987
136,27,39.069,-17.983,33.071,-17.987
136,28,33.071,-17.983,27.069,-17.987
136,29,27.068,-17.983,1000.0,1000.0
136,30,21.069,-17.983,1000.0,1000.0
136,31,15.071,-17.983,1000.0,1000.0
136,32,9.069,-17.983,3.071,-17.987
136,33,9.069,-23.987,3.071,-23.991
136,34,15.068,-23.987,1000.0,1000.0
136,35,21.068,-23.987,1000.0,1000.0
136,36,27.067,-23.987,1000.0,1000.0
136,37,33.07,-23.987,27.068,-23.991
136,38,39.068,-23.987,33.07,-23.991
136,39,45.069,-23.987,1000.0,1000.0
136,40,51.068,-23.987,39.068,-23.991
136,41,51.068,-29.983,39.068,-29.988
136,42,45.07,-29.983,1000.0,1000.0
136,43,39.069,-29.983,33.071,-29.988
136,44,33.071,-29.983,27.069,-29.988
136,45,27.068,-29.983,27.069,-29.988
136,46,21.069,-29.983,21.069,-29.988
136,47,15.071,-29.983,15.07,-29.988
136,48,9.069,-29.983,1000.0,1000.0
136,49,9.069,-35.984,9.069,-35.988
136,50,15.068,-35.984,15.068,-35.988
136,51,21.068,-35.984,1000.0,1000.0
136,52,27.067,-35.984,21.068,-35.988
136,53,33.07,-35.984,27.068,-35.988
136,54,39.068,-35.984,27.068,-35.988
136,55,45.069,-35.984,33.07,-35.988
136,56,51.068,-35.984,39.068,-35.988
136,57,51.068,-41.987,39.068,-41.991
136,58,45.07,-41.987,33.071,-41.991
136,59,39.069,-41.987,1000.0,1000.0
136,60,33.071,-41.987,1000.0,1000.0
136,61,27.068,-41.987,15.07,-41.991
136,62,21.069,-41.987,9.069,-41.991
136,63,15.071,-41.987,3.071,-41.991
136,64,9.069,-41.987,1000.0,1000.0
