run,point,exp_x,exp_y,decoder_x,decoder_y
170,1,9.067,0.014,8.669,-0.0
170,2,15.068,0.014,1000.0,1000.0
170,3,21.068,0.014,21.227,-0.0
170,4,27.067,0.014,26.428,-0.0
170,5,33.07,0.014,33.07,-0.0
170,6,39.068,0.014,39.068,-0.0
170,7,45.069,0.014,1000.0,1000.0
170,8,51.068,0.014,51.068,-0.0
170,9,51.068,-5.983,51.068,-5.999
170,10,45.07,-5.983,1000.0,1000.0
170,11,39.069,-5.983,39.069,-5.999
170,12,33.071,-5.983,33.071,-5.999
170,13,27.068,-5.983,27.069,-5.999
170,14,21.069,-5.983,1000.0,1000.0
170,15,15.07,-5.983,15.07,-5.999
170,16,9.069,-5.983,9.069,-5.999
170,17,9.069,-11.988,1000.0,1000.0
170,18,15.068,-11.988,15.068,-12.004
170,19,21.068,-11.988,21.068,-12.004
170,20,27.067,-11.988,1000.0,1000.0
170,21,33.07,-11.988,33.07,-12.004
170,22,39.068,-11.988,39.068,-12.004
170,23,45.069,-11.988,45.069,-12.004
170,24,51.068,-11.988,1000.0,1000.0
170,25,51.068,-17.983,51.068,-17.998
170,26,45.07,-17.983,45.07,-17.998
170,27,39.069,-17.983,39.069,-17.998
170,28,33.071,-17.983,1000.0,1000.0
170,29,27.068,-17.983,27.069,-17.998
170,30,21.069,-17.983,21.069,-17.998
170,31,15.071,-17.983,1000.0,1000.0
170,32,9.069,-17.983,1000.0,1000.0
170,33,9.069,-23.987,15.07,-24.002
170,34,15.068,-23.987,21.068,-24.002
170,35,21.068,-23.987,27.068,-24.002
170,36,27.067,-23.987,33.07,-24.002
170,37,33.07,-23.987,39.068,-24.002
170,38,39.068,-23.987,45.069,-24.002
170,39,45.069,-23.987,51.068,-24.002
170,40,51.068,-23.987,57.068,-24.002
170,41,51.068,-29.983,57.068,-29.999
170,42,45.07,-29.983,51.07,-29.999
170,43,39.069,-29.983,45.07,-29.999
170,44,33.071,-29.983,39.069,-29.999
170,45,27.068,-29.983,33.071,-29.999
170,46,21.069,-29.983,27.069,-29.999
170,47,15.071,-29.983,21.069,-29.999
170,48,9.069,-29.983,15.07,-29.999
170,49,9.069,-35.984,15.07,-35.999
170,50,15.068,-35.984,1000.0,1000.0
170,51,21.068,-35.984,27.068,-35.999
170,52,27.067,-35.984,33.07,-35.999
170,53,33.07,-35.984,39.068,-35.999
170,54,39.068,-35.984,1000.0,1000.0
170,55,45.069,-35.984,51.068,-35.999
170,56,51.068,-35.984,57.068,-35.999
170,57,51.068,-41.987,57.068,-42.004
170,58,45.07,-41.987,1000.0,1000.0
170,59,39.069,-41.987,45.07,-42.004
170,60,33.071,-41.987,39.069,-42.004
170,61,27.068,-41.987,33.071,-42.004
170,62,21.069,-41.987,27.069,-42.004
170,63,15.071,-41.987,21.069,-42.004
170,64,9.069,-41.987,15.07,-42.004
