run,point,exp_x,exp_y,decoder_x,decoder_y
149,1,9.067,0.014,9.067,-0.011
149,2,15.068,0.014,1000.0,1000.0
149,3,21.068,0.014,1000.0,1000.0
149,4,27.067,0.014,27.068,-0.011
149,5,33.07,0.014,33.07,-0.011
149,6,39.068,0.014,1000.0,1000.0
149,7,45.069,0.014,45.07,-0.011
149,8,51.068,0.014,51.068,-0.011
149,9,51.068,-5.983,51.068,-0.011
149,10,45.07,-5.983,1000.0,1000.0
149,11,39.069,-5.983,39.068,-0.011
149,12,33.071,-5.983,33.073,-0.011
149,13,27.068,-5.983,27.068,-0.011
149,14,21.069,-5.983,21.069,-0.011
149,15,15.07,-5.983,15.071,-0.011
149,16,9.069,-5.983,9.067,-0.011
149,17,9.069,-11.988,9.067,-0.011
149,18,15.068,-11.988,1000.0,1000.0
149,19,21.068,-11.988,21.068,-0.011
149,20,27.067,-11.988,27.067,-0.011
149,21,33.07,-11.988,1000.0,1000.0
149,22,39.068,-11.988,39.066,-0.011
149,23,45.069,-11.988,45.07,-0.011
149,24,51.068,-11.988,45.07,-0.011
149,25,51.068,-17.983,1000.0,1000.0
149,26,45.07,-17.983,39.068,-5.913
149,27,39.069,-17.983,33.073,-5.913
149,28,33.071,-17.983,27.068,-5.913
149,29,27.068,-17.983,21.069,-5.913
149,30,21.069,-17.983,15.071,-5.913
149,31,15.071,-17.983,1000.0,1000.0
149,32,9.069,-17.983,3.073,-5.913
149,33,9.069,-23.987,3.073,-11.917
149,34,15.068,-23.987,1000.0,1000.0
149,35,21.068,-23.987,15.07,-11.917
149,36,27.067,-23.987,21.068,-11.917
149,37,33.07,-23.987,1000.0,1000.0
149,38,39.068,-23.987,33.071,-11.917
149,39,45.069,-23.987,39.066,-11.917
149,40,51.068,-23.987,39.066,-11.917
149,41,51.068,-29.983,39.066,-17.914
149,42,45.07,-29.983,1000.0,1000.0
149,43,39.069,-29.983,27.068,-17.914
149,44,33.071,-29.983,1000.0,1000.0
149,45,27.068,-29.983,0.039,-17.914
149,46,21.069,-29.983,1000.0,1000.0
149,47,15.071,-29.983,3.073,-17.914
149,48,9.069,-29.983,0.035,-17.914
149,49,9.069,-35.984,0.035,-17.914
149,50,15.068,-35.984,6.034,-17.914
149,51,21.068,-35.984,12.034,-17.914
149,52,27.067,-35.984,1000.0,1000.0
149,53,33.07,-35.984,24.033,-17.914
149,54,39.068,-35.984,30.034,-17.914
149,55,45.069,-35.984,1000.0,1000.0
149,56,51.068,-35.984,36.034,-17.914
149,57,51.068,-41.987,36.034,-17.914
149,58,45.07,-41.987,1000.0,1000.0
149,59,39.069,-41.987,24.035,-17.914
149,60,33.071,-41.987,1000.0,1000.0
149,61,27.068,-41.987,12.035,-17.914
149,62,21.069,-41.987,1000.0,1000.0
149,63,15.071,-41.987,0.061,-17.914
149,64,9.069,-41.987,0.061,-17.914
