run,point,exp_x,exp_y,decoder_x,decoder_y
51,1,9.067,0.014,9.069,-0.103
51,2,15.068,0.014,15.068,-0.103
51,3,21.068,0.014,21.068,-0.103
51,4,27.067,0.014,27.068,-0.103
51,5,33.07,0.014,33.07,-33.0
51,6,39.068,0.014,1000.0,1000.0
51,7,45.069,0.014,45.069,-0.103
51,8,51.068,0.014,51.068,-0.103
51,9,51.068,-5.983,51.068,-6.103
51,10,45.07,-5.983,45.07,-6.103
51,11,39.069,-5.983,39.069,-6.103
51,12,33.071,-5.983,33.071,-6.103
51,13,27.068,-5.983,27.069,-6.103
51,14,21.069,-5.983,21.069,-6.103
51,15,15.07,-5.983,15.07,-6.103
51,16,9.069,-5.983,9.069,-6.103
51,17,9.069,-11.988,9.069,-12.106
51,18,15.068,-11.988,15.068,-12.106
51,19,21.068,-11.988,21.068,-12.106
51,20,27.067,-11.988,22.881,-12.106
51,21,33.07,-11.988,28.878,-12.106
51,22,39.068,-11.988,34.878,-12.106
51,23,45.069,-11.988,40.878,-12.106
51,24,51.068,-11.988,46.878,-12.106
51,25,51.068,-17.983,46.878,-18.101
51,26,45.07,-17.983,46.878,-18.101
51,27,39.069,-17.983,40.879,-18.101
51,28,33.071,-17.983,34.879,-18.101
51,29,27.068,-17.983,28.881,-18.101
51,30,21.069,-17.983,1000.0,1000.0
51,31,15.071,-17.983,16.879,-18.101
51,32,9.069,-17.983,10.879,-18.101
51,33,9.069,-23.987,10.88,-24.106
51,34,15.068,-23.987,16.878,-24.106
51,35,21.068,-23.987,22.88,-24.106
51,36,27.067,-23.987,28.878,-24.106
51,37,33.07,-23.987,34.878,-24.106
51,38,39.068,-23.987,40.878,-24.106
51,39,45.069,-23.987,46.878,-24.106
51,40,51.068,-23.987,52.88,-24.106
51,41,51.068,-29.983,52.88,-30.102
51,42,45.07,-29.983,46.879,-30.102
51,43,39.069,-29.983,40.879,-30.102
51,44,33.071,-29.983,34.879,-30.102
51,45,27.068,-29.983,28.881,-30.102
51,46,21.069,-29.983,22.881,-30.102
51,47,15.071,-29.983,16.879,-30.102
51,48,9.069,-29.983,1000.0,1000.0
51,49,9.069,-35.984,10.88,-36.103
51,50,15.068,-35.984,16.878,-36.103
51,51,21.068,-35.984,16.878,-36.103
51,52,27.067,-35.984,22.88,-36.103
51,53,33.07,-35.984,28.878,-36.103
51,54,39.068,-35.984,34.878,-36.103
51,55,45.069,-35.984,40.878,-36.103
51,56,51.068,-35.984,46.878,-36.103
51,57,51.068,-41.987,46.878,-42.106
51,58,45.07,-41.987,40.879,-42.106
51,59,39.069,-41.987,34.879,-42.106
51,60,33.071,-41.987,28.881,-42.106
51,61,27.068,-41.987,22.882,-42.106
51,62,21.069,-41.987,16.879,-42.106
51,63,15.071,-41.987,23.964,-55.19
51,64,9.069,-41.987,4.879,-42.106
