run,point,exp_x,exp_y,decoder_x,decoder_y
156,1,9.067,0.014,9.069,-0.049
156,2,15.068,0.014,15.068,-0.049
156,3,21.068,0.014,21.068,-0.049
156,4,27.067,0.014,27.068,-0.049
156,5,33.07,0.014,33.07,-0.049
156,6,39.068,0.014,39.068,-0.049
156,7,45.069,0.014,39.068,-27.002
156,8,51.068,0.014,39.068,-0.049
156,9,51.068,-5.983,39.068,-6.049
156,10,45.07,-5.983,33.071,-6.049
156,11,39.069,-5.983,1000.0,1000.0
156,12,33.071,-5.983,21.069,-6.049
156,13,27.068,-5.983,15.07,-6.049
156,14,21.069,-5.983,15.07,-6.049
156,15,15.07,-5.983,9.069,-6.049
156,16,9.069,-5.983,3.071,-6.049
156,17,9.069,-11.988,3.071,-12.052
156,18,15.068,-11.988,1000.0,1000.0
156,19,21.068,-11.988,15.068,-12.052
156,20,27.067,-11.988,1000.0,1000.0
156,21,33.07,-11.988,1000.0,1000.0
156,22,39.068,-11.988,1000.0,1000.0
156,23,45.069,-11.988,33.07,-12.052
156,24,51.068,-11.988,33.07,-12.052
156,25,51.068,-17.983,33.07,-18.048
156,26,45.07,-17.983,27.069,-18.048
156,27,39.069,-17.983,1000.0,1000.0
156,28,33.071,-17.983,1000.0,1000.0
156,29,27.068,-17.983,9.069,-18.048
156,30,21.069,-17.983,3.071,-18.048
156,31,15.071,-17.983,1000.0,1000.0
156,32,9.069,-17.983,0.038,-18.048
156,33,9.069,-23.987,0.038,-23.955
156,34,15.068,-23.987,6.036,-23.955
156,35,21.068,-23.987,1000.0,1000.0
156,36,27.067,-23.987,18.04,-23.955
156,37,33.07,-23.987,18.04,-23.955
156,38,39.068,-23.987,1000.0,1000.0
156,39,45.069,-23.987,30.038,-23.955
156,40,51.068,-23.987,36.037,-23.955
156,41,51.068,-29.983,1000.0,1000.0
156,42,45.07,-29.983,1000.0,1000.0
156,43,39.069,-29.983,24.037,-29.953
156,44,33.071,-29.983,24.037,-29.953
156,45,27.068,-29.983,24.037,-29.953
156,46,21.069,-29.983,1000.0,1000.0
156,47,15.071,-29.983,12.037,-29.953
156,48,9.069,-29.983,1000.0,1000.0
156,49,9.069,-35.984,6.038,-35.856
156,50,15.068,-35.984,12.036,-35.856
156,51,21.068,-35.984,18.04,-35.856
156,52,27.067,-35.984,24.036,-35.856
156,53,33.07,-35.984,30.038,-35.856
156,54,39.068,-35.984,36.037,-35.856
156,55,45.069,-35.984,42.036,-35.856
156,56,51.068,-35.984,1000.0,1000.0
156,57,51.068,-41.987,48.04,-41.86
156,58,45.07,-41.987,1000.0,1000.0
156,59,39.069,-41.987,36.038,-41.86
156,60,33.071,-41.987,30.039,-41.86
156,61,27.068,-41.987,24.037,-41.86
156,62,21.069,-41.987,18.041,-41.86
156,63,15.071,-41.987,1000.0,1000.0
156,64,9.069,-41.987,6.038,-41.86
