run,point,exp_x,exp_y,decoder_x,decoder_y
36,1,9.067,0.014,9.067,-0.111
36,2,15.068,0.014,15.07,-0.111
36,3,21.068,0.014,21.068,-0.111
36,4,27.067,0.014,27.068,-0.111
36,5,33.07,0.014,33.07,-0.111
36,6,39.068,0.014,39.068,-0.111
36,7,45.069,0.014,45.069,-0.111
36,8,51.068,0.014,51.068,-0.111
36,9,51.068,-5.983,51.068,-6.112
36,10,45.07,-5.983,45.07,-6.112
36,11,39.069,-5.983,39.069,-6.112
36,12,33.071,-5.983,33.071,-6.112
36,13,27.068,-5.983,27.068,-6.112
36,14,21.069,-5.983,21.069,-6.112
36,15,15.07,-5.983,1000.0,1000.0
36,16,9.069,-5.983,9.069,-6.112
36,17,9.069,-11.988,9.069,-12.116
36,18,15.068,-11.988,1000.0,1000.0
36,19,21.068,-11.988,21.068,-12.116
36,20,27.067,-11.988,27.068,-12.116
36,21,33.07,-11.988,33.07,-12.116
36,22,39.068,-11.988,39.068,-12.116
36,23,45.069,-11.988,45.07,-12.116
36,24,51.068,-11.988,51.068,-12.116
36,25,51.068,-17.983,51.068,-18.111
36,26,45.07,-17.983,45.07,-18.111
36,27,39.069,-17.983,39.069,-18.111
36,28,33.071,-17.983,33.071,-32.999
36,29,27.068,-17.983,27.069,-18.111
36,30,21.069,-17.983,21.069,-18.111
36,31,15.071,-17.983,15.07,-18.111
36,32,9.069,-17.983,9.069,-18.111
36,33,9.069,-23.987,9.069,-19.921
36,34,15.068,-23.987,15.07,-19.921
36,35,21.068,-23.987,21.068,-19.921
36,36,27.067,-23.987,27.068,-19.921
36,37,33.07,-23.987,1000.0,1000.0
36,38,39.068,-23.987,39.068,-19.921
36,39,45.069,-23.987,45.069,-19.921
36,40,51.068,-23.987,51.068,-19.921
36,41,51.068,-29.983,51.068,-65.759
36,42,45.07,-29.983,51.068,-25.921
36,43,39.069,-29.983,45.07,-25.921
36,44,33.071,-29.983,39.069,-25.921
36,45,27.068,-29.983,33.071,-25.921
36,46,21.069,-29.983,1000.0,1000.0
36,47,15.071,-29.983,21.069,-25.921
36,48,9.069,-29.983,1000.0,1000.0
36,49,9.069,-35.984,15.07,-31.924
36,50,15.068,-35.984,21.068,-31.924
36,51,21.068,-35.984,1000.0,1000.0
36,52,27.067,-35.984,33.07,-31.924
36,53,33.07,-35.984,39.068,-31.924
36,54,39.068,-35.984,45.069,-31.924
36,55,45.069,-35.984,45.069,-31.924
36,56,51.068,-35.984,51.068,-31.924
36,57,51.068,-41.987,51.068,-37.92
36,58,45.07,-41.987,45.07,-37.92
36,59,39.069,-41.987,39.069,-27.001
36,60,33.071,-41.987,33.071,-37.92
36,61,27.068,-41.987,27.069,-37.92
36,62,21.069,-41.987,25.26,-37.92
36,63,15.071,-41.987,19.26,-37.92
36,64,9.069,-41.987,13.262,-37.92
