run,point,exp_x,exp_y,decoder_x,decoder_y
155,1,9.067,0.014,9.066,-0.005
155,2,15.068,0.014,15.07,-0.005
155,3,21.068,0.014,21.068,-0.005
155,4,27.067,0.014,21.068,-0.005
155,5,33.07,0.014,1000.0,1000.0
155,6,39.068,0.014,33.07,-0.005
155,7,45.069,0.014,39.068,-0.005
155,8,51.068,0.014,1000.0,1000.0
155,9,51.068,-5.983,45.069,-6.005
155,10,45.07,-5.983,39.069,-6.005
155,11,39.069,-5.983,39.069,-6.005
155,12,33.071,-5.983,33.071,-6.005
155,13,27.068,-5.983,27.069,-6.005
155,14,21.069,-5.983,21.069,-6.005
155,15,15.07,-5.983,1000.0,1000.0
155,16,9.069,-5.983,9.069,-6.005
155,17,9.069,-11.988,9.069,-12.008
155,18,15.068,-11.988,1000.0,1000.0
155,19,21.068,-11.988,21.068,-12.008
155,20,27.067,-11.988,1000.0,1000.0
155,21,33.07,-11.988,27.068,-12.008
155,22,39.068,-11.988,1000.0,1000.0
155,23,45.069,-11.988,54.062,-27.002
155,24,51.068,-11.988,45.069,-12.008
155,25,51.068,-17.983,1000.0,1000.0
155,26,45.07,-17.983,1000.0,1000.0
155,27,39.069,-17.983,33.071,-18.005
155,28,33.071,-17.983,1000.0,1000.0
155,29,27.068,-17.983,27.069,-18.005
155,30,21.069,-17.983,1000.0,1000.0
155,31,15.071,-17.983,1000.0,1000.0
155,32,9.069,-17.983,9.069,-18.005
155,33,9.069,-23.987,1000.0,1000.0
155,34,15.068,-23.987,15.07,-24.007
155,35,21.068,-23.987,1000.0,1000.0
155,36,27.067,-23.987,27.068,-24.007
155,37,33.07,-23.987,27.068,-24.007
155,38,39.068,-23.987,33.07,-24.007
155,39,45.069,-23.987,1000.0,1000.0
155,40,51.068,-23.987,45.069,-24.007
155,41,51.068,-29.983,1000.0,1000.0
155,42,45.07,-29.983,39.069,-29.908
155,43,39.069,-29.983,33.071,-29.908
155,44,33.071,-29.983,27.069,-29.908
155,45,27.068,-29.983,21.069,-29.908
155,46,21.069,-29.983,15.071,-29.908
155,47,15.071,-29.983,1000.0,1000.0
155,48,9.069,-29.983,3.071,-29.908
155,49,9.069,-35.984,3.071,-35.907
155,50,15.068,-35.984,3.071,-35.907
155,51,21.068,-35.984,1000.0,1000.0
155,52,27.067,-35.984,15.068,-35.907
155,53,33.07,-35.984,21.068,-35.907
155,54,39.068,-35.984,1000.0,1000.0
155,55,45.069,-35.984,33.074,-35.907
155,56,51.068,-35.984,39.071,-35.907
155,57,51.068,-41.987,39.071,-35.907
155,58,45.07,-41.987,39.071,-35.907
155,59,39.069,-41.987,33.075,-35.907
155,60,33.071,-41.987,27.073,-35.907
155,61,27.068,-41.987,21.072,-35.907
155,62,21.069,-41.987,15.073,-35.907
155,63,15.071,-41.987,1000.0,1000.0
155,64,9.069,-41.987,3.075,-35.907
