run,point,exp_x,exp_y,decoder_x,decoder_y
95,1,9.067,0.014,0.0,-66.07
95,2,15.068,0.014,15.07,0.005
95,3,21.068,0.014,21.068,0.005
95,4,27.067,0.014,27.068,0.005
95,5,33.07,0.014,33.07,0.005
95,6,39.068,0.014,1000.0,1000.0
95,7,45.069,0.014,45.069,0.005
95,8,51.068,0.014,51.068,0.005
95,9,51.068,-5.983,51.068,-5.995
95,10,45.07,-5.983,45.07,-5.995
95,11,39.069,-5.983,39.069,-5.995
95,12,33.071,-5.983,33.071,-5.995
95,13,27.068,-5.983,27.069,-5.995
95,14,21.069,-5.983,21.068,-5.995
95,15,15.07,-5.983,15.07,-5.995
95,16,9.069,-5.983,9.069,-5.995
95,17,9.069,-11.988,9.069,-11.999
95,18,15.068,-11.988,1000.0,1000.0
95,19,21.068,-11.988,21.068,-11.999
95,20,27.067,-11.988,27.068,-11.999
95,21,33.07,-11.988,33.07,-11.999
95,22,39.068,-11.988,39.068,-11.999
95,23,45.069,-11.988,45.069,-11.999
95,24,51.068,-11.988,51.068,-11.999
95,25,51.068,-17.983,51.068,-11.999
95,26,45.07,-17.983,45.07,-11.999
95,27,39.069,-17.983,39.069,-11.999
95,28,33.071,-17.983,33.071,-11.999
95,29,27.068,-17.983,27.069,-11.999
95,30,21.069,-17.983,21.069,-11.999
95,31,15.071,-17.983,15.07,-11.999
95,32,9.069,-17.983,9.069,-11.999
95,33,9.069,-23.987,9.069,-17.995
95,34,15.068,-23.987,15.068,-17.995
95,35,21.068,-23.987,21.068,-17.995
95,36,27.067,-23.987,27.068,-17.995
95,37,33.07,-23.987,33.07,-17.995
95,38,39.068,-23.987,39.068,-17.995
95,39,45.069,-23.987,45.069,-17.995
95,40,51.068,-23.987,51.068,-17.995
95,41,51.068,-29.983,51.068,-65.764
95,42,45.07,-29.983,45.07,-23.997
95,43,39.069,-29.983,39.069,-23.997
95,44,33.071,-29.983,39.069,-23.997
95,45,27.068,-29.983,33.071,-23.997
95,46,21.069,-29.983,27.069,-23.997
95,47,15.071,-29.983,21.068,-23.997
95,48,9.069,-29.983,15.07,-23.997
95,49,9.069,-35.984,15.07,-29.996
95,50,15.068,-35.984,21.068,-29.996
95,51,21.068,-35.984,27.068,-29.996
95,52,27.067,-35.984,33.07,-29.996
95,53,33.07,-35.984,39.068,-29.996
95,54,39.068,-35.984,45.069,-29.996
95,55,45.069,-35.984,51.068,-29.996
95,56,51.068,-35.984,57.068,-29.996
95,57,51.068,-41.987,57.068,-35.995
95,58,45.07,-41.987,51.068,-35.995
95,59,39.069,-41.987,45.07,-35.995
95,60,33.071,-41.987,39.069,-35.995
95,61,27.068,-41.987,33.071,-35.995
95,62,21.069,-41.987,27.069,-35.995
95,63,15.071,-41.987,21.069,-35.995
95,64,9.069,-41.987,15.07,-35.995
