run,point,exp_x,exp_y,decoder_x,decoder_y
46,1,9.067,0.014,9.069,-0.105
46,2,15.068,0.014,15.07,-0.105
46,3,21.068,0.014,21.068,-0.105
46,4,27.067,0.014,1000.0,1000.0
46,5,33.07,0.014,33.07,-0.105
46,6,39.068,0.014,39.069,-0.105
46,7,45.069,0.014,45.069,-0.105
46,8,51.068,0.014,51.068,-0.105
46,9,51.068,-5.983,51.068,-6.106
46,10,45.07,-5.983,45.071,-6.106
46,11,39.069,-5.983,39.07,-6.106
46,12,33.071,-5.983,33.071,-6.106
46,13,27.068,-5.983,27.07,-6.106
46,14,21.069,-5.983,21.069,-6.106
46,15,15.07,-5.983,15.071,-6.106
46,16,9.069,-5.983,9.07,-6.106
46,17,9.069,-11.988,9.07,-12.109
46,18,15.068,-11.988,15.07,-12.109
46,19,21.068,-11.988,21.069,-12.109
46,20,27.067,-11.988,27.069,-12.109
46,21,33.07,-11.988,33.07,-12.109
46,22,39.068,-11.988,39.069,-12.109
46,23,45.069,-11.988,45.07,-12.109
46,24,51.068,-11.988,51.068,-12.109
46,25,51.068,-17.983,51.068,-18.103
46,26,45.07,-17.983,45.071,-18.103
46,27,39.069,-17.983,39.07,-18.103
46,28,33.071,-17.983,33.071,-18.103
46,29,27.068,-17.983,27.07,-18.103
46,30,21.069,-17.983,21.069,-18.103
46,31,15.071,-17.983,15.071,-18.103
46,32,9.069,-17.983,9.07,-18.103
46,33,9.069,-23.987,9.07,-24.108
46,34,15.068,-23.987,15.07,-24.108
46,35,21.068,-23.987,21.068,-24.108
46,36,27.067,-23.987,27.069,-24.108
46,37,33.07,-23.987,33.07,-24.108
46,38,39.068,-23.987,39.069,-24.108
46,39,45.069,-23.987,45.07,-24.108
46,40,51.068,-23.987,51.068,-24.108
46,41,51.068,-29.983,51.068,-30.104
46,42,45.07,-29.983,45.071,-30.104
46,43,39.069,-29.983,39.07,-30.104
46,44,33.071,-29.983,33.071,-30.104
46,45,27.068,-29.983,27.07,-30.104
46,46,21.069,-29.983,1000.0,1000.0
46,47,15.071,-29.983,15.071,-30.104
46,48,9.069,-29.983,9.07,-30.104
46,49,9.069,-35.984,9.07,-36.106
46,50,15.068,-35.984,15.07,-36.106
46,51,21.068,-35.984,21.068,-36.106
46,52,27.067,-35.984,27.069,-36.106
46,53,33.07,-35.984,1000.0,1000.0
46,54,39.068,-35.984,39.069,-36.106
46,55,45.069,-35.984,45.07,-36.106
46,56,51.068,-35.984,45.07,-36.106
46,57,51.068,-41.987,45.07,-42.109
46,58,45.07,-41.987,39.07,-42.109
46,59,39.069,-41.987,33.071,-42.109
46,60,33.071,-41.987,27.07,-42.109
46,61,27.068,-41.987,21.069,-42.109
46,62,21.069,-41.987,15.071,-42.109
46,63,15.071,-41.987,9.07,-42.109
46,64,9.069,-41.987,9.07,-42.109
