run,point,exp_x,exp_y,decoder_x,decoder_y
133,1,9.067,0.014,0.0,-66.07
133,2,15.068,0.014,5.999,-66.07
133,3,21.068,0.014,11.998,-66.07
133,4,27.067,0.014,18.002,-66.07
133,5,33.07,0.014,1000.0,1000.0
133,6,39.068,0.014,29.999,-66.07
133,7,45.069,0.014,35.999,-66.07
133,8,51.068,0.014,41.999,-66.07
133,9,51.068,-5.983,1000.0,1000.0
133,10,45.07,-5.983,1000.0,1000.0
133,11,39.069,-5.983,1000.0,1000.0
133,12,33.071,-5.983,1000.0,1000.0
133,13,27.068,-5.983,1000.0,1000.0
133,14,21.069,-5.983,1000.0,1000.0
133,15,15.07,-5.983,1000.0,1000.0
133,16,9.069,-5.983,1000.0,1000.0
133,17,9.069,-11.988,1000.0,1000.0
133,18,15.068,-11.988,1000.0,1000.0
133,19,21.068,-11.988,1000.0,1000.0
133,20,27.067,-11.988,1000.0,1000.0
133,21,33.07,-11.988,1000.0,1000.0
133,22,39.068,-11.988,1000.0,1000.0
133,23,45.069,-11.988,1000.0,1000.0
133,24,51.068,-11.988,1000.0,1000.0
133,25,51.068,-17.983,1000.0,1000.0
133,26,45.07,-17.983,1000.0,1000.0
133,27,39.069,-17.983,1000.0,1000.0
133,28,33.071,-17.983,1000.0,1000.0
133,29,27.068,-17.983,1000.0,1000.0
133,30,21.069,-17.983,1000.0,1000.0
133,31,15.071,-17.983,1000.0,1000.0
133,32,9.069,-17.983,1000.0,1000.0
133,33,9.069,-23.987,1000.0,1000.0
133,34,15.068,-23.987,1000.0,1000.0
133,35,21.068,-23.987,1000.0,1000.0
133,36,27.067,-23.987,1000.0,1000.0
133,37,33.07,-23.987,1000.0,1000.0
133,38,39.068,-23.987,1000.0,1000.0
133,39,45.069,-23.987,1000.0,1000.0
133,40,51.068,-23.987,1000.0,1000.0
133,41,51.068,-29.983,1000.0,1000.0
133,42,45.07,-29.983,1000.0,1000.0
133,43,39.069,-29.983,1000.0,1000.0
133,44,33.071,-29.983,1000.0,1000.0
133,45,27.068,-29.983,1000.0,1000.0
133,46,21.069,-29.983,1000.0,1000.0
133,47,15.071,-29.983,1000.0,1000.0
133,48,9.069,-29.983,1000.0,1000.0
133,49,9.069,-35.984,1000.0,1000.0
133,50,15.068,-35.984,1000.0,1000.0
133,51,21.068,-35.984,1000.0,1000.0
133,52,27.067,-35.984,1000.0,1000.0
133,53,33.07,-35.984,1000.0,1000.0
133,54,39.068,-35.984,1000.0,1000.0
133,55,45.069,-35.984,1000.0,1000.0
133,56,51.068,-35.984,1000.0,1000.0
133,57,51.068,-41.987,1000.0,1000.0
133,58,45.07,-41.987,1000.0,1000.0
133,59,39.069,-41.987,1000.0,1000.0
133,60,33.071,-41.987,1000.0,1000.0
133,61,27.068,-41.987,1000.0,1000.0
133,62,21.069,-41.987,1000.0,1000.0
133,63,15.071,-41.987,1000.0,1000.0
133,64,9.069,-41.987,1000.0,1000.0
