run,point,exp_x,exp_y,decoder_x,decoder_y
137,1,9.067,0.014,1000.0,1000.0
137,2,15.068,0.014,1000.0,1000.0
137,3,21.068,0.014,1000.0,1000.0
137,4,27.067,0.014,1000.0,1000.0
137,5,33.07,0.014,1000.0,1000.0
137,6,39.068,0.014,1000.0,1000.0
137,7,45.069,0.014,1000.0,1000.0
137,8,51.068,0.014,1000.0,1000.0
137,9,51.068,-5.983,45.069,-5.978
137,10,45.07,-5.983,39.069,-5.978
137,11,39.069,-5.983,33.071,-5.978
137,12,33.071,-5.983,1000.0,1000.0
137,13,27.068,-5.983,21.069,-5.978
137,14,21.069,-5.983,15.07,-5.978
137,15,15.07,-5.983,15.07,-5.978
137,16,9.069,-5.983,1000.0,1000.0
137,17,9.069,-11.988,1000.0,1000.0
137,18,15.068,-11.988,21.068,-11.982
137,19,21.068,-11.988,27.068,-11.982
137,20,27.067,-11.988,33.07,-11.982
137,21,33.07,-11.988,1000.0,1000.0
137,22,39.068,-11.988,45.069,-11.982
137,23,45.069,-11.988,51.068,-11.982
137,24,51.068,-11.988,51.068,-11.982
137,25,51.068,-17.983,51.068,-17.978
137,26,45.07,-17.983,45.07,-17.978
137,27,39.069,-17.983,1000.0,1000.0
137,28,33.071,-17.983,33.071,-17.978
137,29,27.068,-17.983,27.069,-17.978
137,30,21.069,-17.983,27.069,-17.978
137,31,15.071,-17.983,21.069,-17.978
137,32,9.069,-17.983,1000.0,1000.0
137,33,9.069,-23.987,15.07,-23.98
137,34,15.068,-23.987,21.068,-23.98
137,35,21.068,-23.987,1000.0,1000.0
137,36,27.067,-23.987,33.07,-23.98
137,37,33.07,-23.987,39.068,-23.98
137,38,39.068,-23.987,45.069,-23.98
137,39,45.069,-23.987,51.068,-23.98
137,40,51.068,-23.987,57.068,-23.98
137,41,51.068,-29.983,1000.0,1000.0
137,42,45.07,-29.983,51.07,-29.978
137,43,39.069,-29.983,45.07,-29.978
137,44,33.071,-29.983,39.069,-29.978
137,45,27.068,-29.983,33.071,-29.978
137,46,21.069,-29.983,33.071,-29.978
137,47,15.071,-29.983,27.069,-29.978
137,48,9.069,-29.983,21.069,-29.978
137,49,9.069,-35.984,1000.0,1000.0
137,50,15.068,-35.984,27.068,-35.978
137,51,21.068,-35.984,33.07,-35.978
137,52,27.067,-35.984,39.068,-35.978
137,53,33.07,-35.984,1000.0,1000.0
137,54,39.068,-35.984,51.068,-35.978
137,55,45.069,-35.984,57.068,-35.978
137,56,51.068,-35.984,1000.0,1000.0
137,57,51.068,-41.987,63.07,-41.982
137,58,45.07,-41.987,57.069,-41.982
137,59,39.069,-41.987,51.07,-41.982
137,60,33.071,-41.987,1000.0,1000.0
137,61,27.068,-41.987,1000.0,1000.0
137,62,21.069,-41.987,33.071,-41.982
137,63,15.071,-41.987,27.069,-41.982
137,64,9.069,-41.987,21.069,-41.982
