run,point,exp_x,exp_y,decoder_x,decoder_y
188,1,9.067,0.014,9.067,-0.023
188,2,15.068,0.014,15.07,-51.0
188,3,21.068,0.014,21.068,-0.023
188,4,27.067,0.014,27.068,-0.023
188,5,33.07,0.014,33.07,-51.697
188,6,39.068,0.014,39.068,-0.023
188,7,45.069,0.014,45.069,-0.023
188,8,51.068,0.014,51.068,-0.023
188,9,51.068,-5.983,1000.0,1000.0
188,10,45.07,-5.983,60.048,-21.0
188,11,39.069,-5.983,39.069,-6.022
188,12,33.071,-5.983,33.071,-6.022
188,13,27.068,-5.983,1000.0,1000.0
188,14,21.069,-5.983,21.069,-6.022
188,15,15.07,-5.983,15.07,-6.022
188,16,9.069,-5.983,1000.0,1000.0
188,17,9.069,-11.988,9.069,-12.027
188,18,15.068,-11.988,15.068,-12.027
188,19,21.068,-11.988,21.068,-12.027
188,20,27.067,-11.988,1000.0,1000.0
188,21,33.07,-11.988,33.07,-12.027
188,22,39.068,-11.988,39.068,-12.027
188,23,45.069,-11.988,39.068,-12.027
188,24,51.068,-11.988,45.069,-12.027
188,25,51.068,-17.983,1000.0,1000.0
188,26,45.07,-17.983,39.069,-18.022
188,27,39.069,-17.983,33.071,-18.022
188,28,33.071,-17.983,27.069,-18.022
188,29,27.068,-17.983,21.069,-18.022
188,30,21.069,-17.983,15.07,-18.022
188,31,15.071,-17.983,9.069,-18.022
188,32,9.069,-17.983,3.071,-18.022
188,33,9.069,-23.987,3.071,-24.025
188,34,15.068,-23.987,1000.0,1000.0
188,35,21.068,-23.987,15.068,-24.025
188,36,27.067,-23.987,21.068,-24.025
188,37,33.07,-23.987,27.068,-24.025
188,38,39.068,-23.987,33.07,-24.025
188,39,45.069,-23.987,39.068,-24.025
188,40,51.068,-23.987,45.069,-24.025
188,41,51.068,-29.983,45.069,-30.022
188,42,45.07,-29.983,1000.0,1000.0
188,43,39.069,-29.983,33.071,-30.022
188,44,33.071,-29.983,27.069,-30.022
188,45,27.068,-29.983,27.069,-30.022
188,46,21.069,-29.983,21.069,-30.022
188,47,15.071,-29.983,1000.0,1000.0
188,48,9.069,-29.983,9.069,-30.022
188,49,9.069,-35.984,9.069,-36.022
188,50,15.068,-35.984,1000.0,1000.0
188,51,21.068,-35.984,21.068,-36.022
188,52,27.067,-35.984,1000.0,1000.0
188,53,33.07,-35.984,1000.0,1000.0
188,54,39.068,-35.984,39.068,-36.022
188,55,45.069,-35.984,45.069,-36.022
188,56,51.068,-35.984,45.069,-36.022
188,57,51.068,-41.987,45.069,-42.027
188,58,45.07,-41.987,39.069,-42.027
188,59,39.069,-41.987,33.071,-42.027
188,60,33.071,-41.987,27.069,-42.027
188,61,27.068,-41.987,21.069,-42.027
188,62,21.069,-41.987,15.07,-42.027
188,63,15.071,-41.987,9.069,-42.027
188,64,9.069,-41.987,9.069,-42.027
