run,point,exp_x,exp_y,decoder_x,decoder_y
201,1,9.067,0.014,9.067,-0.0
201,2,15.068,0.014,15.068,-0.0
201,3,21.068,0.014,21.068,-0.0
201,4,27.067,0.014,27.068,-0.0
201,5,33.07,0.014,33.07,-0.0
201,6,39.068,0.014,39.068,-0.0
201,7,45.069,0.014,45.069,-21.001
201,8,51.068,0.014,51.068,-0.0
201,9,51.068,-5.983,51.068,-5.999
201,10,45.07,-5.983,1000.0,1000.0
201,11,39.069,-5.983,39.069,-5.999
201,12,33.071,-5.983,33.071,-5.999
201,13,27.068,-5.983,27.069,-5.999
201,14,21.069,-5.983,1000.0,1000.0
201,15,15.07,-5.983,60.071,-51.0
201,16,9.069,-5.983,9.069,-5.999
201,17,9.069,-11.988,1000.0,1000.0
201,18,15.068,-11.988,15.068,-12.004
201,19,21.068,-11.988,21.068,-12.004
201,20,27.067,-11.988,1000.0,1000.0
201,21,33.07,-11.988,33.07,-12.004
201,22,39.068,-11.988,39.068,-12.004
201,23,45.069,-11.988,45.069,-12.004
201,24,51.068,-11.988,51.068,-12.004
201,25,51.068,-17.983,51.068,-17.998
201,26,45.07,-17.983,45.07,-17.998
201,27,39.069,-17.983,39.069,-17.998
201,28,33.071,-17.983,33.071,-17.998
201,29,27.068,-17.983,27.069,-17.998
201,30,21.069,-17.983,1000.0,1000.0
201,31,15.071,-17.983,15.07,-17.998
201,32,9.069,-17.983,9.069,-17.998
201,33,9.069,-23.987,9.069,-24.002
201,34,15.068,-23.987,15.068,-24.002
201,35,21.068,-23.987,21.068,-24.002
201,36,27.067,-23.987,27.068,-24.002
201,37,33.07,-23.987,33.07,-24.002
201,38,39.068,-23.987,39.068,-24.002
201,39,45.069,-23.987,1000.0,1000.0
201,40,51.068,-23.987,51.068,-24.002
201,41,51.068,-29.983,51.068,-15.002
201,42,45.07,-29.983,1000.0,1000.0
201,43,39.069,-29.983,1000.0,1000.0
201,44,33.071,-29.983,33.071,-29.999
201,45,27.068,-29.983,27.069,-29.999
201,46,21.069,-29.983,21.069,-29.999
201,47,15.071,-29.983,15.07,-29.999
201,48,9.069,-29.983,1000.0,1000.0
201,49,9.069,-35.984,9.069,-35.999
201,50,15.068,-35.984,15.068,-35.999
201,51,21.068,-35.984,15.068,-35.999
201,52,27.067,-35.984,21.068,-35.999
201,53,33.07,-35.984,1000.0,1000.0
201,54,39.068,-35.984,33.07,-35.999
201,55,45.069,-35.984,39.068,-35.999
201,56,51.068,-35.984,45.069,-35.999
201,57,51.068,-41.987,45.069,-42.004
201,58,45.07,-41.987,1000.0,1000.0
201,59,39.069,-41.987,1000.0,1000.0
201,60,33.071,-41.987,27.069,-42.004
201,61,27.068,-41.987,21.069,-42.004
201,62,21.069,-41.987,15.07,-42.004
201,63,15.071,-41.987,9.069,-42.004
201,64,9.069,-41.987,3.071,-42.004
