run,point,exp_x,exp_y,decoder_x,decoder_y
177,1,9.067,0.014,0.0,-66.07
177,2,15.068,0.014,5.999,-66.07
177,3,21.068,0.014,11.998,-66.07
177,4,27.067,0.014,1000.0,1000.0
177,5,33.07,0.014,1000.0,1000.0
177,6,39.068,0.014,29.999,-66.07
177,7,45.069,0.014,35.999,-66.07
177,8,51.068,0.014,41.999,-66.07
177,9,51.068,-5.983,1000.0,1000.0
177,10,45.07,-5.983,1000.0,1000.0
177,11,39.069,-5.983,1000.0,1000.0
177,12,33.071,-5.983,1000.0,1000.0
177,13,27.068,-5.983,1000.0,1000.0
177,14,21.069,-5.983,1000.0,1000.0
177,15,15.07,-5.983,1000.0,1000.0
177,16,9.069,-5.983,1000.0,1000.0
177,17,9.069,-11.988,1000.0,1000.0
177,18,15.068,-11.988,1000.0,1000.0
177,19,21.068,-11.988,1000.0,1000.0
177,20,27.067,-11.988,1000.0,1000.0
177,21,33.07,-11.988,1000.0,1000.0
177,22,39.068,-11.988,1000.0,1000.0
177,23,45.069,-11.988,1000.0,1000.0
177,24,51.068,-11.988,1000.0,1000.0
177,25,51.068,-17.983,1000.0,1000.0
177,26,45.07,-17.983,1000.0,1000.0
177,27,39.069,-17.983,1000.0,1000.0
177,28,33.071,-17.983,1000.0,1000.0
177,29,27.068,-17.983,1000.0,1000.0
177,30,21.069,-17.983,1000.0,1000.0
177,31,15.071,-17.983,1000.0,1000.0
177,32,9.069,-17.983,1000.0,1000.0
177,33,9.069,-23.987,1000.0,1000.0
177,34,15.068,-23.987,1000.0,1000.0
177,35,21.068,-23.987,1000.0,1000.0
177,36,27.067,-23.987,1000.0,1000.0
177,37,33.07,-23.987,1000.0,1000.0
177,38,39.068,-23.987,1000.0,1000.0
177,39,45.069,-23.987,1000.0,1000.0
177,40,51.068,-23.987,1000.0,1000.0
177,41,51.068,-29.983,1000.0,1000.0
177,42,45.07,-29.983,1000.0,1000.0
177,43,39.069,-29.983,1000.0,1000.0
177,44,33.071,-29.983,1000.0,1000.0
177,45,27.068,-29.983,1000.0,1000.0
177,46,21.069,-29.983,1000.0,1000.0
177,47,15.071,-29.983,1000.0,1000.0
177,48,9.069,-29.983,1000.0,1000.0
177,49,9.069,-35.984,1000.0,1000.0
177,50,15.068,-35.984,1000.0,1000.0
177,51,21.068,-35.984,1000.0,1000.0
177,52,27.067,-35.984,1000.0,1000.0
177,53,33.07,-35.984,1000.0,1000.0
177,54,39.068,-35.984,1000.0,1000.0
177,55,45.069,-35.984,1000.0,1000.0
177,56,51.068,-35.984,1000.0,1000.0
177,57,51.068,-41.987,1000.0,1000.0
177,58,45.07,-41.987,1000.0,1000.0
177,59,39.069,-41.987,1000.0,1000.0
177,60,33.071,-41.987,1000.0,1000.0
177,61,27.068,-41.987,1000.0,1000.0
177,62,21.069,-41.987,1000.0,1000.0
177,63,15.071,-41.987,1000.0,1000.0
177,64,9.069,-41.987,1000.0,1000.0
