run,point,exp_x,exp_y,decoder_x,decoder_y
206,1,9.067,0.014,9.067,-0.039
206,2,15.068,0.014,15.07,-0.039
206,3,21.068,0.014,1000.0,1000.0
206,4,27.067,0.014,27.068,-0.039
206,5,33.07,0.014,1000.0,1000.0
206,6,39.068,0.014,39.068,-0.039
206,7,45.069,0.014,45.071,-0.039
206,8,51.068,0.014,1000.0,1000.0
206,9,51.068,-5.983,51.068,-6.039
206,10,45.07,-5.983,1000.0,1000.0
206,11,39.069,-5.983,1000.0,1000.0
206,12,33.071,-5.983,1000.0,1000.0
206,13,27.068,-5.983,27.068,-6.039
206,14,21.069,-5.983,21.069,-6.039
206,15,15.07,-5.983,1000.0,1000.0
206,16,9.069,-5.983,21.069,-6.039
206,17,9.069,-11.988,21.069,-12.043
206,18,15.068,-11.988,27.067,-12.043
206,19,21.068,-11.988,33.073,-12.043
206,20,27.067,-11.988,39.066,-12.043
206,21,33.07,-11.988,45.07,-12.043
206,22,39.068,-11.988,51.07,-12.043
206,23,45.069,-11.988,57.063,-12.043
206,24,51.068,-11.988,63.075,-12.043
206,25,51.068,-17.983,63.075,-18.037
206,26,45.07,-17.983,57.066,-18.037
206,27,39.069,-17.983,1000.0,1000.0
206,28,33.071,-17.983,45.072,-18.037
206,29,27.068,-17.983,39.064,-18.037
206,30,21.069,-17.983,1000.0,1000.0
206,31,15.071,-17.983,27.064,-18.037
206,32,9.069,-17.983,21.071,-18.037
206,33,9.069,-23.987,1000.0,1000.0
206,34,15.068,-23.987,1000.0,1000.0
206,35,21.068,-23.987,33.076,-24.041
206,36,27.067,-23.987,39.064,-24.041
206,37,33.07,-23.987,45.071,-24.041
206,38,39.068,-23.987,1000.0,1000.0
206,39,45.069,-23.987,57.065,-24.041
206,40,51.068,-23.987,63.077,-24.041
206,41,51.068,-29.983,63.079,-24.041
206,42,45.07,-29.983,1000.0,1000.0
206,43,39.069,-29.983,51.072,-14.998
206,44,33.071,-29.983,45.072,-24.041
206,45,27.068,-29.983,39.064,-24.041
206,46,21.069,-29.983,33.078,-24.041
206,47,15.071,-29.983,1000.0,1000.0
206,48,9.069,-29.983,1000.0,1000.0
206,49,9.069,-35.984,21.071,-30.038
206,50,15.068,-35.984,27.063,-30.038
206,51,21.068,-35.984,27.063,-30.038
206,52,27.067,-35.984,33.076,-30.038
206,53,33.07,-35.984,1000.0,1000.0
206,54,39.068,-35.984,45.071,-30.038
206,55,45.069,-35.984,51.07,-30.038
206,56,51.068,-35.984,1000.0,1000.0
206,57,51.068,-41.987,57.065,-36.039
206,58,45.07,-41.987,51.071,-36.039
206,59,39.069,-41.987,0.057,-36.039
206,60,33.071,-41.987,51.073,-36.039
206,61,27.068,-41.987,45.071,-36.039
206,62,21.069,-41.987,39.068,-36.039
206,63,15.071,-41.987,33.073,-36.039
206,64,9.069,-41.987,27.068,-36.039
