run,point,exp_x,exp_y,decoder_x,decoder_y
110,1,9.067,0.014,9.067,-0.001
110,2,15.068,0.014,1000.0,1000.0
110,3,21.068,0.014,21.068,-0.001
110,4,27.067,0.014,27.068,-0.001
110,5,33.07,0.014,33.07,-0.001
110,6,39.068,0.014,39.068,-0.001
110,7,45.069,0.014,1000.0,1000.0
110,8,51.068,0.014,51.068,-0.001
110,9,51.068,-5.983,1000.0,1000.0
110,10,45.07,-5.983,1000.0,1000.0
110,11,39.069,-5.983,39.069,-6.0
110,12,33.071,-5.983,33.071,-6.0
110,13,27.068,-5.983,27.069,-6.0
110,14,21.069,-5.983,21.069,-6.0
110,15,15.07,-5.983,15.07,-6.0
110,16,9.069,-5.983,9.069,-6.0
110,17,9.069,-11.988,9.069,-12.005
110,18,15.068,-11.988,1000.0,1000.0
110,19,21.068,-11.988,21.068,-12.005
110,20,27.067,-11.988,27.068,-12.005
110,21,33.07,-11.988,33.07,-12.005
110,22,39.068,-11.988,39.068,-12.005
110,23,45.069,-11.988,45.069,-12.005
110,24,51.068,-11.988,51.068,-12.005
110,25,51.068,-17.983,51.068,-18.0
110,26,45.07,-17.983,45.07,-18.0
110,27,39.069,-17.983,45.07,-18.0
110,28,33.071,-17.983,39.069,-18.0
110,29,27.068,-17.983,33.071,-18.0
110,30,21.069,-17.983,1000.0,1000.0
110,31,15.071,-17.983,21.069,-18.0
110,32,9.069,-17.983,21.069,-18.0
110,33,9.069,-23.987,21.069,-24.003
110,34,15.068,-23.987,27.068,-24.003
110,35,21.068,-23.987,1000.0,1000.0
110,36,27.067,-23.987,39.068,-24.003
110,37,33.07,-23.987,45.069,-24.003
110,38,39.068,-23.987,1000.0,1000.0
110,39,45.069,-23.987,57.068,-24.003
110,40,51.068,-23.987,63.07,-24.003
110,41,51.068,-29.983,63.07,-30.0
110,42,45.07,-29.983,1000.0,1000.0
110,43,39.069,-29.983,51.07,-30.0
110,44,33.071,-29.983,45.07,-30.0
110,45,27.068,-29.983,1000.0,1000.0
110,46,21.069,-29.983,36.07,-32.999
110,47,15.071,-29.983,27.069,-30.0
110,48,9.069,-29.983,21.069,-30.0
110,49,9.069,-35.984,21.069,-36.0
110,50,15.068,-35.984,27.068,-36.0
110,51,21.068,-35.984,33.07,-36.0
110,52,27.067,-35.984,1000.0,1000.0
110,53,33.07,-35.984,45.069,-36.0
110,54,39.068,-35.984,51.068,-36.0
110,55,45.069,-35.984,57.068,-36.0
110,56,51.068,-35.984,63.07,-36.0
110,57,51.068,-41.987,63.07,-42.005
110,58,45.07,-41.987,1000.0,1000.0
110,59,39.069,-41.987,51.07,-42.005
110,60,33.071,-41.987,45.07,-42.005
110,61,27.068,-41.987,39.069,-42.005
110,62,21.069,-41.987,1000.0,1000.0
110,63,15.071,-41.987,27.069,-42.005
110,64,9.069,-41.987,21.069,-42.005
