lsid	reff_orn	point_orn	dx	dy
95	1	1	0	0
95	1	2	12345	54128
95	1	3	17259	54128
95	1	4	22174	54128
95	1	5	27091	54128
95	1	6	8193242	54128
95	1	7	36920	54128
95	1	8	41835	54128
95	1	9	41835	49213
95	1	10	36921	49213
95	1	11	32005	49213
95	1	12	27092	49213
95	1	13	22175	49213
95	1	14	17259	49213
95	1	15	12345	49213
95	1	16	7429	49213
95	1	17	7429	44295
95	1	18	3160366	44295
95	1	19	17259	44295
95	1	20	22174	44295
95	1	21	27091	44295
95	1	22	32004	44295
95	1	23	36920	44295
95	1	24	41835	44295
95	1	25	41835	44295
95	1	26	36921	44295
95	1	27	32005	44295
95	1	28	27092	44295
95	1	29	22175	44295
95	1	30	17260	44295
95	1	31	12345	44295
95	1	32	7429	44295
95	1	33	7429	39383
95	1	34	12344	39383
95	1	35	17259	39383
95	1	36	22174	39383
95	1	37	27091	39383
95	1	38	32004	39383
95	1	39	36920	39383
95	1	40	41835	39383
95	1	41	41835	251
95	1	42	36921	34466
95	1	43	32005	34466
95	1	44	32005	34466
95	1	45	27092	34466
95	1	46	22175	34466
95	1	47	17259	34466
95	1	48	12345	34466
95	1	49	12345	29552
95	1	50	17259	29552
95	1	51	22174	29552
95	1	52	27091	29552
95	1	53	32004	29552
95	1	54	36920	29552
95	1	55	41835	29552
95	1	56	46750	29552
95	1	57	46750	24637
95	1	58	41835	24637
95	1	59	36921	24637
95	1	60	32005	24637
95	1	61	27092	24637
95	1	62	22175	24637
95	1	63	17260	24637
95	1	64	12345	24637
