lsid	reff_orn	point_orn	dx	dy
149	1	1	7428	54115
149	1	2	-1	54115
149	1	3	0	-1
149	1	4	22174	54115
149	1	5	27091	54115
149	1	6	32004	-1
149	1	7	36921	54115
149	1	8	41835	54115
149	1	9	41835	54115
149	1	10	54115	-1
149	1	11	32004	54115
149	1	12	27093	54115
149	1	13	22174	54115
149	1	14	17260	54115
149	1	15	12346	54115
149	1	16	7428	54115
149	1	17	7428	54115
149	1	18	12345	-1
149	1	19	17259	54115
149	1	20	22173	54115
149	1	21	-1	6542378
149	1	22	32003	54115
149	1	23	36921	54115
149	1	24	36921	54115
149	1	25	36921	-1
149	1	26	32004	49280
149	1	27	27093	49280
149	1	28	22174	49280
149	1	29	17260	49280
149	1	30	12346	49280
149	1	31	49280	-1
149	1	32	2517	49280
149	1	33	2517	44362
149	1	34	-1	44362
149	1	35	12345	44362
149	1	36	17259	44362
149	1	37	44362	-1
149	1	38	27092	44362
149	1	39	32003	44362
149	1	40	32003	44362
149	1	41	32003	39449
149	1	42	27093	-1
149	1	43	22174	39449
149	1	44	-2	39449
149	1	45	32	39449
149	1	46	-2	-1
149	1	47	2517	39449
149	1	48	29	39449
149	1	49	29	39449
149	1	50	4943	39449
149	1	51	9858	39449
149	1	52	14776	-1
149	1	53	19688	39449
149	1	54	24604	39449
149	1	55	-1	39449
149	1	56	29519	39449
149	1	57	29519	39449
149	1	58	-2	-1
149	1	59	19689	39449
149	1	60	-1	39449
149	1	61	9859	39449
149	1	62	4944	-1
149	1	63	50	39449
149	1	64	50	39449
