lsid	reff_orn	point_orn	dx	dy
211	1	1	7428	54105
211	1	2	12345	-1
211	1	3	17259	54105
211	1	4	22173	54105
211	1	5	27092	-1
211	1	6	8193242	54105
211	1	7	36921	-1
211	1	8	41835	54105
211	1	9	41835	49191
211	1	10	36921	-1
211	1	11	32005	49191
211	1	12	27092	49191
211	1	13	22175	49191
211	1	14	17260	49191
211	1	15	12346	49191
211	1	16	7429	49191
211	1	17	7429	44273
211	1	18	-2	-1
211	1	19	17259	44273
211	1	20	22174	44273
211	1	21	27092	44273
211	1	22	32004	44273
211	1	23	9451671	44273
211	1	24	41835	-1
211	1	25	41835	39361
211	1	26	36921	39361
211	1	27	32005	39361
211	1	28	-1	39361
211	1	29	22175	39361
211	1	30	17260	39361
211	1	31	17260	39361
211	1	32	12345	39361
211	1	33	12345	34443
211	1	34	17259	-1
211	1	35	22174	34443
211	1	36	27092	34443
211	1	37	32004	34443
211	1	38	0	-1
211	1	39	41835	34443
211	1	40	0	0
211	1	41	46750	29530
211	1	42	-2	-1
211	1	43	36921	29530
211	1	44	32005	29530
211	1	45	44940	56
211	1	46	22175	29530
211	1	47	17260	29530
211	1	48	12346	29530
211	1	49	-1	24615
211	1	50	-1	24615
211	1	51	22174	-1
211	1	52	27092	24615
211	1	53	32004	24615
211	1	54	36920	24615
211	1	55	10709955	24615
211	1	56	-1	24615
211	1	57	46750	19697
211	1	58	41836	19697
211	1	59	36921	19697
211	1	60	32005	19697
211	1	61	27093	19697
211	1	62	22175	22175
211	1	63	17260	19697
211	1	64	12346	19697
