lsid	reff_orn	point_orn	dx	dy
145	1	1	7416	54121
145	1	2	12331	54121
145	1	3	17246	54121
145	1	4	22161	-1
145	1	5	22161	54121
145	1	6	27078	54121
145	1	7	31991	54121
145	1	8	36907	54121
145	1	9	36907	49206
145	1	10	8190171	49206
145	1	11	-2	-1
145	1	12	22162	49206
145	1	13	17247	49206
145	1	14	49206	-1
145	1	15	12332	49206
145	1	16	7416	49206
145	1	17	7416	-1
145	1	18	12331	44288
145	1	19	17246	44288
145	1	20	-2	-1
145	1	21	27078	44288
145	1	22	31991	44288
145	1	23	36907	-1
145	1	24	41822	44288
145	1	25	41822	39376
145	1	26	36908	39376
145	1	27	-1	39376
145	1	28	27079	39376
145	1	29	22162	39376
145	1	30	4415371	39376
145	1	31	12332	-1
145	1	32	7416	39376
145	1	33	7416	34458
145	1	34	34458	12331
145	1	35	17246	34458
145	1	36	17246	34458
145	1	37	22161	34458
145	1	38	22161	34458
145	1	39	27078	34458
145	1	40	34458	-2
145	1	41	31991	29545
145	1	42	29545	755041028
145	1	43	22162	29545
145	1	44	22162	-1
145	1	45	17247	29545
145	1	46	-1	1936272429
145	1	47	7416	29545
145	1	48	2503	29545
145	1	49	2503	29545
145	1	50	7415	29545
145	1	51	12331	29545
145	1	52	17246	29545
145	1	53	22161	29545
145	1	54	-1	29545
145	1	55	31991	29545
145	1	56	36907	29545
145	1	57	36907	24710
145	1	58	31992	24710
145	1	59	-2	-1
145	1	60	22162	24710
145	1	61	17247	24710
145	1	62	17247	24710
145	1	63	-1	1619419281
145	1	64	7416	24710
