lsid	reff_orn	point_orn	dx	dy
86	1	1	7428	-1
86	1	2	12344	54118
86	1	3	17259	54118
86	1	4	22174	54118
86	1	5	27091	54118
86	1	6	32004	54118
86	1	7	36920	54118
86	1	8	-1	54118
86	1	9	41835	49203
86	1	10	36921	49203
86	1	11	32005	49203
86	1	12	27092	49203
86	1	13	22175	49203
86	1	14	17260	49203
86	1	15	12345	49203
86	1	16	7429	49203
86	1	17	7429	44285
86	1	18	12344	44285
86	1	19	17259	44285
86	1	20	22174	44285
86	1	21	27091	44285
86	1	22	32004	44285
86	1	23	32004	44285
86	1	24	36920	44285
86	1	25	36920	39373
86	1	26	32005	39373
86	1	27	27092	39373
86	1	28	22175	39373
86	1	29	17260	39373
86	1	30	12345	39373
86	1	31	7429	39373
86	1	32	2516	39373
86	1	33	2516	34456
86	1	34	7428	34456
86	1	35	12344	34456
86	1	36	17259	34456
86	1	37	22174	34456
86	1	38	27091	34456
86	1	39	32004	32004
86	1	40	36920	34456
86	1	41	36920	29542
86	1	42	32005	29542
86	1	43	27092	29542
86	1	44	22175	29542
86	1	45	17260	29542
86	1	46	12345	29542
86	1	47	7429	29542
86	1	48	2516	29542
86	1	49	2516	28057
86	1	50	7428	28057
86	1	51	12344	28057
86	1	52	17259	28057
86	1	53	22174	28057
86	1	54	27091	28057
86	1	55	32004	28057
86	1	56	36920	28057
86	1	57	36920	23146
86	1	58	32005	23146
86	1	59	27092	23146
86	1	60	22175	23146
86	1	61	17260	23146
86	1	62	12345	12345
86	1	63	7429	23146
86	1	64	2516	23146
