lsid	reff_orn	point_orn	dx	dy
130	1	1	7429	0
130	1	2	-1	-1
130	1	3	17260	0
130	1	4	22175	0
130	1	5	27091	0
130	1	6	-2	-1
130	1	7	36921	0
130	1	8	41835	0
130	1	9	41835	-2
130	1	10	36922	-2
130	1	11	32006	-2
130	1	12	27092	-1
130	1	13	22176	-2
130	1	14	17260	-2
130	1	15	12346	-2
130	1	16	-1	13714827
130	1	17	7430	-2
130	1	18	12345	-2
130	1	19	17260	-2
130	1	20	22175	-2
130	1	21	27092	-1
130	1	22	32005	-2
130	1	23	36921	-2
130	1	24	36921	-2
130	1	25	36921	-2
130	1	26	32006	-2
130	1	27	27092	-2
130	1	28	-2	22176
130	1	29	17260	-2
130	1	30	-1	-2
130	1	31	7430	-2
130	1	32	0	65535
130	1	33	2516	-2
130	1	34	7429	-2
130	1	35	12345	-2
130	1	36	-2	-1
130	1	37	22175	-2
130	1	38	27092	-2
130	1	39	32005	-2
130	1	40	-1	8797573
130	1	41	36921	-2
130	1	42	32006	-2
130	1	43	27093	-2
130	1	44	65535	-1
130	1	45	17260	-2
130	1	46	-2	-2
130	1	47	7430	-2
130	1	48	-1	-2
130	1	49	2517	-2
130	1	50	7429	-2
130	1	51	12345	-2
130	1	52	17260	-2
130	1	53	22175	-1
130	1	54	27092	-2
130	1	55	32005	-2
130	1	56	36921	-2
130	1	57	36921	-2
130	1	58	32006	-2
130	1	59	27092	-2
130	1	60	-1	2045405960
130	1	61	17260	-2
130	1	62	12346	-2
130	1	63	7430	-2
130	1	64	-2	-1
