lsid	reff_orn	point_orn	dx	dy
210	1	1	7428	54040
210	1	2	12344	54040
210	1	3	54040	50593792
210	1	4	22174	54040
210	1	5	22174	54040
210	1	6	27091	54040
210	1	7	32004	54040
210	1	8	36920	54040
210	1	9	36920	49205
210	1	10	-2	-1
210	1	11	27092	49205
210	1	12	22175	49205
210	1	13	65407	36
210	1	14	-2	-1
210	1	15	12345	49205
210	1	16	7429	49205
210	1	17	7429	49205
210	1	18	-1	-2
210	1	19	17259	49205
210	1	20	22174	49205
210	1	21	22174	49205
210	1	22	27091	49205
210	1	23	-1	49205
210	1	24	36920	49205
210	1	25	36920	44286
210	1	26	36920	44286
210	1	27	32005	44286
210	1	28	27092	44286
210	1	29	22175	22175
210	1	30	17260	44286
210	1	31	-1	44286
210	1	32	7429	44286
210	1	33	7429	39374
210	1	34	-1	0
210	1	35	17259	39374
210	1	36	22174	39374
210	1	37	39374	-1
210	1	38	32004	39374
210	1	39	32004	39374
210	1	40	36920	39374
210	1	41	36920	34457
210	1	42	-1	34457
210	1	43	27092	34457
210	1	44	22175	34457
210	1	45	17260	34457
210	1	46	12345	34457
210	1	47	7429	34457
210	1	48	34457	2516
210	1	49	164953148	29544
210	1	50	-2	-1
210	1	51	12344	29544
210	1	52	17259	29544
210	1	53	29544	-1
210	1	54	27091	29544
210	1	55	32004	29544
210	1	56	36920	-2
210	1	57	36920	24629
210	1	58	-1	24629
210	1	59	27092	-1
210	1	60	22175	24629
210	1	61	17260	24629
210	1	62	17260	24629
210	1	63	12345	24629
210	1	64	7429	7429
