lsid	reff_orn	point_orn	dx	dy
225	1	1	7097	54129
225	1	2	12344	54129
225	1	3	17258	-1
225	1	4	22170	54129
225	1	5	27090	54129
225	1	6	32003	54129
225	1	7	36921	54129
225	1	8	41834	54129
225	1	9	41834	41834
225	1	10	36921	49215
225	1	11	32003	49215
225	1	12	27092	-1
225	1	13	-1	49215
225	1	14	17259	49215
225	1	15	12344	49215
225	1	16	7427	49215
225	1	17	7427	44296
225	1	18	12344	44296
225	1	19	-1	44296
225	1	20	22171	44296
225	1	21	27091	44296
225	1	22	-1	44296
225	1	23	36919	44296
225	1	24	41834	44296
225	1	25	41834	-1
225	1	26	36920	39385
225	1	27	32003	39385
225	1	28	27092	39385
225	1	29	22173	39385
225	1	30	17259	39385
225	1	31	12344	39385
225	1	32	7427	39385
225	1	33	7427	34467
225	1	34	-1	34467
225	1	35	17258	-1
225	1	36	22172	34467
225	1	37	27090	34467
225	1	38	32003	34467
225	1	39	36919	34467
225	1	40	41834	-2
225	1	41	41834	29554
225	1	42	36920	29554
225	1	43	32004	29554
225	1	44	-1	1936878630
225	1	45	21636	29554
225	1	46	17382	29554
225	1	47	12344	29554
225	1	48	7427	29554
225	1	49	7427	-2
225	1	50	12343	24639
225	1	51	17258	24639
225	1	52	-2	-1
225	1	53	27091	24639
225	1	54	32002	24639
225	1	55	36919	24639
225	1	56	41834	24639
225	1	57	-2	-1
225	1	58	36920	19721
225	1	59	32003	19721
225	1	60	32003	19721
225	1	61	27091	19721
225	1	62	22173	19721
225	1	63	17259	19721
225	1	64	-2	-1
