lsid	reff_orn	point_orn	dx	dy
72	1	1	7428	54079
72	1	2	7427	54079
72	1	3	12344	54079
72	1	4	12344	54079
72	1	5	17258	54079
72	1	6	17258	54079
72	1	7	22173	54079
72	1	8	22173	54079
72	1	9	22173	49164
72	1	10	17259	49164
72	1	11	12344	49164
72	1	12	7429	49164
72	1	13	2515	49164
72	1	14	0	49164
72	1	15	0	49164
72	1	16	-2	49164
72	1	17	-2	44246
72	1	18	4911	44246
72	1	19	4911	-1
72	1	20	9827	44246
72	1	21	14743	44246
72	1	22	19657	44246
72	1	23	24573	44246
72	1	24	29487	-1
72	1	25	29487	39335
72	1	26	24574	39335
72	1	27	19658	39335
72	1	28	14745	39335
72	1	29	9828	39335
72	1	30	4912	39335
72	1	31	22	39335
72	1	32	20	39335
72	1	33	20	34416
72	1	34	4933	34416
72	1	35	9848	34416
72	1	36	14765	34416
72	1	37	19679	34416
72	1	38	24595	34416
72	1	39	29509	34416
72	1	40	34424	34416
72	1	41	34424	29503
72	1	42	34424	29503
72	1	43	29510	29503
72	1	44	24596	29503
72	1	45	19680	29503
72	1	46	14766	29503
72	1	47	9850	29503
72	1	48	4934	29503
72	1	49	4934	24588
72	1	50	9848	24588
72	1	51	14765	24588
72	1	52	19679	24588
72	1	53	24594	24588
72	1	54	29509	24588
72	1	55	29509	24588
72	1	56	34424	24588
72	1	57	34424	19670
72	1	58	29510	19670
72	1	59	24596	19670
72	1	60	19680	19670
72	1	61	14766	19670
72	1	62	9850	19670
72	1	63	4934	19670
72	1	64	20	19670
