lsid	reff_orn	point_orn	dx	dy
150	1	1	7428	54121
150	1	2	12344	54121
150	1	3	17259	54121
150	1	4	-2	-1
150	1	5	27091	54121
150	1	6	27091	54121
150	1	7	32004	54121
150	1	8	36920	-1
150	1	9	36920	49206
150	1	10	32005	49206
150	1	11	27092	49206
150	1	12	-1	-2
150	1	13	17260	49206
150	1	14	12345	49206
150	1	15	12345	49206
150	1	16	7429	49206
150	1	17	7429	44368
150	1	18	-2	44368
150	1	19	17259	44368
150	1	20	17259	44368
150	1	21	22174	44368
150	1	22	6935445	44368
150	1	23	-1	5289375
150	1	24	36920	44368
150	1	25	-1	39456
150	1	26	-1	2138699
150	1	27	27092	39456
150	1	28	22175	39456
150	1	29	17260	39456
150	1	30	12345	-1
150	1	31	7429	39456
150	1	32	2516	39456
150	1	33	2516	34538
150	1	34	7428	34538
150	1	35	12344	12344
150	1	36	35564	34538
150	1	37	-2	-1
150	1	38	27091	-2
150	1	39	55968	34538
150	1	40	-1	34538
150	1	41	36920	29624
150	1	42	32005	29624
150	1	43	32005	29624
150	1	44	27092	29624
150	1	45	22175	-1
150	1	46	17260	29624
150	1	47	12345	29624
150	1	48	7429	29624
150	1	49	7429	-1
150	1	50	12344	24710
150	1	51	17259	24710
150	1	52	22174	24710
150	1	53	27091	24710
150	1	54	32004	24710
150	1	55	-2	-1
150	1	56	41835	24710
150	1	57	41835	19792
150	1	58	-1	64607
150	1	59	32005	19792
150	1	60	27092	19792
150	1	61	22175	19792
150	1	62	67	77
150	1	63	12345	19792
150	1	64	1901875	19792
