lsid	reff_orn	point_orn	dx	dy
241	1	1	-2	-1
241	1	2	12345	54129
241	1	3	17259	54129
241	1	4	22174	54129
241	1	5	-1	54129
241	1	6	32004	54129
241	1	7	36920	54129
241	1	8	36920	-1
241	1	9	36920	49215
241	1	10	32005	49215
241	1	11	27092	49215
241	1	12	22175	49215
241	1	13	-2	49215
241	1	14	12345	49215
241	1	15	7429	49215
241	1	16	2516	49215
241	1	17	2516	44296
241	1	18	-1	-2
241	1	19	12345	44296
241	1	20	17259	44296
241	1	21	22174	44296
241	1	22	44296	27091
241	1	23	32004	44296
241	1	24	-1	44296
241	1	25	36920	39385
241	1	26	32005	39385
241	1	27	27092	39385
241	1	28	22175	-2
241	1	29	17260	39385
241	1	30	12345	39385
241	1	31	7429	-2
241	1	32	2516	39385
241	1	33	2516	34467
241	1	34	7428	34467
241	1	35	-2	-1
241	1	36	17259	34467
241	1	37	22174	34467
241	1	38	27091	34467
241	1	39	34467	-1
241	1	40	36920	34467
241	1	41	36920	29554
241	1	42	32005	-1
241	1	43	27092	29554
241	1	44	22175	29554
241	1	45	17260	-1
241	1	46	12345	29554
241	1	47	7429	29554
241	1	48	2516	-2
241	1	49	2516	24639
241	1	50	7428	24639
241	1	51	12344	24639
241	1	52	17259	24639
241	1	53	22174	24639
241	1	54	27091	24639
241	1	55	32004	-1
241	1	56	36920	24639
241	1	57	36920	19720
241	1	58	32005	-1
241	1	59	27092	19720
241	1	60	22175	19720
241	1	61	17260	19720
241	1	62	12345	19720
241	1	63	7429	-1
241	1	64	2516	19720
