lsid	reff_orn	point_orn	dx	dy
220	1	1	-1	54038
220	1	2	12345	54038
220	1	3	17260	54038
220	1	4	22173	54038
220	1	5	27492	54038
220	1	6	31677	54038
220	1	7	37740	54038
220	1	8	41836	54038
220	1	9	41837	49122
220	1	10	36922	49122
220	1	11	32004	49122
220	1	12	27094	49122
220	1	13	22174	49122
220	1	14	17260	17260
220	1	15	12346	49122
220	1	16	-2	-1
220	1	17	7428	44204
220	1	18	12345	44204
220	1	19	17260	17260
220	1	20	22173	44204
220	1	21	27093	44204
220	1	22	32003	44204
220	1	23	36921	44204
220	1	24	41836	44204
220	1	25	-1	39293
220	1	26	36922	39293
220	1	27	32005	39293
220	1	28	32005	39293
220	1	29	27092	39293
220	1	30	22175	39293
220	1	31	17260	39293
220	1	32	-1	39293
220	1	33	12345	34375
220	1	34	17259	34375
220	1	35	22174	34375
220	1	36	27092	-1
220	1	37	32004	34375
220	1	38	36921	34375
220	1	39	36921	34375
220	1	40	41835	34375
220	1	41	41835	29462
220	1	42	-1	1469901
220	1	43	32005	29462
220	1	44	27093	29462
220	1	45	22175	29462
220	1	46	17260	29462
220	1	47	12346	29462
220	1	48	7429	29462
220	1	49	7429	24546
220	1	50	24546	12345
220	1	51	17259	24546
220	1	52	22174	24546
220	1	53	27092	27092
220	1	54	32004	24546
220	1	55	36921	24546
220	1	56	41835	24546
220	1	57	41835	-1
220	1	58	36921	19629
220	1	59	32005	19629
220	1	60	-1	1286421582
220	1	61	22175	19629
220	1	62	17260	19629
220	1	63	17260	19629
220	1	64	19629	12346
