lsid	reff_orn	point_orn	dx	dy
163	1	1	7428	54115
163	1	2	7428	-1
163	1	3	12344	54115
163	1	4	-2	-1
163	1	5	22174	54115
163	1	6	27091	54115
163	1	7	32004	54115
163	1	8	-2	-1
163	1	9	36920	49201
163	1	10	32005	49201
163	1	11	-1	49201
163	1	12	22175	49201
163	1	13	17260	49201
163	1	14	4418763	49201
163	1	15	-2	-1
163	1	16	7429	49201
163	1	17	7429	44283
163	1	18	12344	44283
163	1	19	17259	-1
163	1	20	22174	44283
163	1	21	27091	44283
163	1	22	27091	44283
163	1	23	27091	44283
163	1	24	32004	44283
163	1	25	32004	-2
163	1	26	27092	39371
163	1	27	22175	39371
163	1	28	-2	-1
163	1	29	12345	39371
163	1	30	7429	39371
163	1	31	2516	39371
163	1	32	36	-1
163	1	33	36	34453
163	1	34	4950	34453
163	1	35	-2	-1
163	1	36	14782	34453
163	1	37	19695	34453
163	1	38	24611	34453
163	1	39	29526	-1
163	1	40	34441	34453
163	1	41	34441	29540
163	1	42	-2	-1
163	1	43	24612	29540
163	1	44	19696	29540
163	1	45	14783	29540
163	1	46	9866	29540
163	1	47	-1	29540
163	1	48	58	29540
163	1	49	58	58
163	1	50	4974	24625
163	1	51	-1	1613832423
163	1	52	9887	24625
163	1	53	14803	24625
163	1	54	19716	24625
163	1	55	24632	-1
163	1	56	29547	24625
163	1	57	29547	19707
163	1	58	-2	-1
163	1	59	19717	19707
163	1	60	14804	19707
163	1	61	9887	19707
163	1	62	-1	1291566192
163	1	63	58	19707
163	1	64	56	19707
