lsid	reff_orn	point_orn	dx	dy
158	1	1	7429	54129
158	1	2	-2	-1
158	1	3	17259	54129
158	1	4	22174	54129
158	1	5	-1	54129
158	1	6	-2	-1
158	1	7	36920	54129
158	1	8	41835	54129
158	1	9	41835	49214
158	1	10	36921	-1
158	1	11	32005	49214
158	1	12	27092	-1
158	1	13	22175	49214
158	1	14	17260	49214
158	1	15	12345	49214
158	1	16	-2	-1
158	1	17	7429	44296
158	1	18	12344	44296
158	1	19	17259	44296
158	1	20	22174	44296
158	1	21	27091	44296
158	1	22	32004	44296
158	1	23	36920	44296
158	1	24	-2	-1
158	1	25	41835	39384
158	1	26	36921	39384
158	1	27	36921	39384
158	1	28	32005	39384
158	1	29	27092	39384
158	1	30	22175	39384
158	1	31	39384	17260
158	1	32	-1	14197561
158	1	33	12345	34467
158	1	34	17259	34467
158	1	35	-1	-2
158	1	36	22174	34467
158	1	37	-1	34467
158	1	38	-2	-1
158	1	39	36920	34467
158	1	40	41835	34467
158	1	41	41835	29553
158	1	42	9451862	29553
158	1	43	-2	-1
158	1	44	27092	29553
158	1	45	22175	29553
158	1	46	29553	22175
158	1	47	17260	29553
158	1	48	17260	29553
158	1	49	17260	24638
158	1	50	-1	4088035
158	1	51	27091	24638
158	1	52	32004	24638
158	1	53	32004	24638
158	1	54	36920	24638
158	1	55	41835	-1
158	1	56	46750	24638
158	1	57	46750	19720
158	1	58	-2	-1
158	1	59	36921	19720
158	1	60	32005	19720
158	1	61	-2	-1
158	1	62	22175	19720
158	1	63	-2	19720
158	1	64	17260	19720
