lsid	reff_orn	point_orn	dx	dy
232	1	1	7428	54081
232	1	2	12344	54081
232	1	3	17259	54081
232	1	4	-1	54081
232	1	5	27091	54081
232	1	6	32004	54081
232	1	7	36920	54081
232	1	8	41835	54081
232	1	9	41835	49166
232	1	10	-1	923895
232	1	11	32005	49166
232	1	12	27491	49166
232	1	13	22175	49166
232	1	14	17260	49166
232	1	15	12345	49166
232	1	16	7429	49166
232	1	17	7429	44247
232	1	18	12345	44247
232	1	19	-1	44247
232	1	20	22174	44247
232	1	21	27091	44247
232	1	22	32004	44247
232	1	23	36920	44247
232	1	24	41835	44247
232	1	25	41835	-1
232	1	26	36921	39336
232	1	27	36921	39336
232	1	28	32005	39336
232	1	29	27092	39336
232	1	30	22175	39336
232	1	31	17260	39336
232	1	32	12345	39336
232	1	33	12345	-1
232	1	34	17259	34418
232	1	35	22174	34418
232	1	36	34418	27091
232	1	37	32004	34418
232	1	38	36920	34418
232	1	39	41835	-1
232	1	40	46750	34418
232	1	41	46750	29505
232	1	42	41836	29505
232	1	43	36921	-1
232	1	44	32005	29505
232	1	45	27092	29505
232	1	46	22175	29505
232	1	47	-2	29505
232	1	48	12345	29505
232	1	49	12345	24590
232	1	50	17259	24590
232	1	51	-2	24590
232	1	52	27091	24590
232	1	53	32004	24590
232	1	54	32004	24590
232	1	55	36920	24590
232	1	56	41835	0
232	1	57	-1	19672
232	1	58	36921	19672
232	1	59	32005	19672
232	1	60	-2	-1
232	1	61	22175	19672
232	1	62	17260	19672
232	1	63	12345	19672
232	1	64	-2	-1
