lsid	reff_orn	point_orn	dx	dy
129	1	1	7428	54094
129	1	2	12344	54094
129	1	3	17259	54094
129	1	4	-2	54094
129	1	5	27091	54094
129	1	6	32004	54094
129	1	7	36920	54094
129	1	8	41835	-2
129	1	9	41835	49179
129	1	10	41835	49179
129	1	11	36921	49179
129	1	12	32005	-1
129	1	13	27092	49179
129	1	14	27092	49179
129	1	15	22175	49179
129	1	16	-1	49179
129	1	17	22175	44262
129	1	18	27091	-1
129	1	19	-1	44262
129	1	20	36920	-1
129	1	21	41835	44262
129	1	22	46750	44262
129	1	23	46750	44262
129	1	24	51667	44262
129	1	25	51667	39350
129	1	26	46751	39350
129	1	27	41836	-1
129	1	28	36921	39350
129	1	29	32005	39350
129	1	30	32005	39350
129	1	31	-1	39350
129	1	32	22175	39350
129	1	33	22175	34432
129	1	34	27091	34432
129	1	35	27091	34432
129	1	36	32004	34432
129	1	37	36920	34432
129	1	38	-1	-1
129	1	39	46750	34432
129	1	40	51667	34432
129	1	41	51667	29598
129	1	42	46751	29598
129	1	43	41836	29598
129	1	44	-2	-1
129	1	45	32005	32005
129	1	46	27092	29598
129	1	47	22175	29598
129	1	48	17260	29598
129	1	49	17260	24683
129	1	50	22174	24683
129	1	51	27091	24683
129	1	52	32004	24683
129	1	53	36920	24683
129	1	54	41835	24683
129	1	55	-2	-1
129	1	56	51667	24683
129	1	57	51667	19765
129	1	58	-1	3488884
129	1	59	41836	19765
129	1	60	36921	19765
129	1	61	-2	19765
129	1	62	32005	-2
129	1	63	27092	19765
129	1	64	22175	19765
