lsid	reff_orn	point_orn	dx	dy
242	1	1	-1	0
242	1	2	0	0
242	1	3	4915	0
242	1	4	9830	0
242	1	5	14747	-1
242	1	6	19660	0
242	1	7	53811	0
242	1	8	-1	-1
242	1	9	29490	-2
242	1	10	24577	-2
242	1	11	76	-1
242	1	12	14748	-2
242	1	13	-1	-1
242	1	14	4915	-2
242	1	15	50	-2
242	1	16	50	-2
242	1	17	50	-2
242	1	18	50	-2
242	1	19	4964	-2
242	1	20	9879	9879
242	1	21	14796	-2
242	1	22	19709	-1
242	1	23	24625	-2
242	1	24	29540	-2
242	1	25	29540	-2
242	1	26	24626	-2
242	1	27	19710	-2
242	1	28	-2	14797
242	1	29	9880	-2
242	1	30	4965	-2
242	1	31	50	-2
242	1	32	48	-2
242	1	33	48	-2
242	1	34	-2	-1
242	1	35	9877	-2
242	1	36	14794	-2
242	1	37	19707	-2
242	1	38	24623	-2
242	1	39	29537	-2
242	1	40	29537	-2
242	1	41	29537	-2
242	1	42	-1	-2
242	1	43	19708	-2
242	1	44	14794	-2
242	1	45	9878	-2
242	1	46	4962	-2
242	1	47	-1	-2
242	1	48	45	-2
242	1	49	45	-2
242	1	50	-2	-1
242	1	51	9874	-2
242	1	52	14790	-2
242	1	53	14790	-2
242	1	54	19704	-2
242	1	55	24620	-2
242	1	56	29534	-2
242	1	57	-2	-1
242	1	58	24621	-2
242	1	59	19705	-2
242	1	60	19705	-2
242	1	61	14792	-1
242	1	62	9874	-2
242	1	63	4960	-2
242	1	64	4960	-2
