lsid	reff_orn	point_orn	dx	dy
90	1	1	7428	54118
90	1	2	12344	54118
90	1	3	-1	54118
90	1	4	22174	54118
90	1	5	27091	54118
90	1	6	32004	54118
90	1	7	36920	54118
90	1	8	41835	54118
90	1	9	41835	49203
90	1	10	36921	49203
90	1	11	32005	49203
90	1	12	27092	49203
90	1	13	22175	49203
90	1	14	17260	49203
90	1	15	17260	49203
90	1	16	12345	49203
90	1	17	12345	44285
90	1	18	17259	44285
90	1	19	22174	44285
90	1	20	27091	44285
90	1	21	32004	44285
90	1	22	36920	44285
90	1	23	41835	44285
90	1	24	46750	44285
90	1	25	46750	39373
90	1	26	41836	39373
90	1	27	36921	39373
90	1	28	32005	39373
90	1	29	27092	39373
90	1	30	22175	39373
90	1	31	17260	39373
90	1	32	17260	39373
90	1	33	17260	34455
90	1	34	22174	34455
90	1	35	27091	34455
90	1	36	32004	32004
90	1	37	36920	34455
90	1	38	41835	34455
90	1	39	46750	34455
90	1	40	51667	34455
90	1	41	51667	29542
90	1	42	46751	29542
90	1	43	41836	29542
90	1	44	36921	29542
90	1	45	32005	29542
90	1	46	27092	29542
90	1	47	22175	29542
90	1	48	17260	29542
90	1	49	17260	24627
90	1	50	22174	24627
90	1	51	27091	24627
90	1	52	2097470112	24627
90	1	53	36920	24627
90	1	54	41838	24627
90	1	55	46753	24627
90	1	56	51669	24627
90	1	57	51669	19709
90	1	58	46754	19709
90	1	59	46754	19709
90	1	60	41838	19709
90	1	61	36924	19709
90	1	62	32008	19709
90	1	63	27095	19709
90	1	64	22178	19709
