lsid	reff_orn	point_orn	dx	dy
213	1	1	7428	54102
213	1	2	-1	54102
213	1	3	17259	54102
213	1	4	54102	22174
213	1	5	27091	54102
213	1	6	32004	54102
213	1	7	36921	54102
213	1	8	41835	54102
213	1	9	41835	49188
213	1	10	36921	49188
213	1	11	32005	49188
213	1	12	27092	49188
213	1	13	22175	49188
213	1	14	17260	49188
213	1	15	12345	49188
213	1	16	7429	49188
213	1	17	7429	44270
213	1	18	12345	44270
213	1	19	17259	44270
213	1	20	22174	44270
213	1	21	27091	44270
213	1	22	32004	44270
213	1	23	36921	44270
213	1	24	41835	44270
213	1	25	-2	-1
213	1	26	36921	39358
213	1	27	32005	39358
213	1	28	27092	39358
213	1	29	22175	39358
213	1	30	17260	39358
213	1	31	12345	39358
213	1	32	7429	39358
213	1	33	7429	34440
213	1	34	12345	34440
213	1	35	17259	34440
213	1	36	22174	34440
213	1	37	27091	34440
213	1	38	32004	34440
213	1	39	36921	34440
213	1	40	41835	34440
213	1	41	41835	29527
213	1	42	36921	29527
213	1	43	32005	29527
213	1	44	27092	29527
213	1	45	22175	29527
213	1	46	17260	29527
213	1	47	12345	29527
213	1	48	7429	29527
213	1	49	7429	24612
213	1	50	12345	24612
213	1	51	17259	24612
213	1	52	22174	24612
213	1	53	27091	24612
213	1	54	32004	24612
213	1	55	36920	24612
213	1	56	41835	24612
213	1	57	41835	19694
213	1	58	36921	-1
213	1	59	32005	19694
213	1	60	27092	19694
213	1	61	22175	19694
213	1	62	17260	19694
213	1	63	12345	19694
213	1	64	7429	19694
