lsid	reff_orn	point_orn	dx	dy
244	1	1	7429	54137
244	1	2	-2	-1
244	1	3	17260	54137
244	1	4	-1	54137
244	1	5	27091	54137
244	1	6	32005	54137
244	1	7	-2	-1
244	1	8	41835	54137
244	1	9	41835	49222
244	1	10	36922	49222
244	1	11	32006	-1
244	1	12	27092	49222
244	1	13	22175	49222
244	1	14	17260	49222
244	1	15	-2	-1
244	1	16	7430	49222
244	1	17	-1	44304
244	1	18	12345	44304
244	1	19	44304	17260
244	1	20	22175	44304
244	1	21	27092	44304
244	1	22	32005	44304
244	1	23	36921	44304
244	1	24	41835	44304
244	1	25	41835	39392
244	1	26	36922	-1
244	1	27	32006	39392
244	1	28	27092	39392
244	1	29	22176	-2
244	1	30	17260	39392
244	1	31	12346	39392
244	1	32	7430	39392
244	1	33	7430	34475
244	1	34	-2	-1
244	1	35	17260	34475
244	1	36	22175	34475
244	1	37	-2	22175
244	1	38	22175	34475
244	1	39	27092	-1
244	1	40	32005	34475
244	1	41	32005	29561
244	1	42	27092	29561
244	1	43	-1	-1
244	1	44	17261	29561
244	1	45	-1	29561
244	1	46	7430	29561
244	1	47	2517	29561
244	1	48	27	29561
244	1	49	27	24646
244	1	50	-2	-1
244	1	51	4941	24646
244	1	52	9856	24646
244	1	53	-1	24646
244	1	54	-1	24646
244	1	55	24602	24646
244	1	56	29517	24646
244	1	57	29517	19808
244	1	58	24603	19808
244	1	59	19687	19808
244	1	60	14774	19808
244	1	61	9857	-1
244	1	62	4942	19808
244	1	63	42	19808
244	1	64	39	19808
