lsid	reff_orn	point_orn	dx	dy
69	1	1	-1	54006
69	1	2	12344	54006
69	1	3	17258	54006
69	1	4	22173	54006
69	1	5	27090	54006
69	1	6	32004	54006
69	1	7	36920	54006
69	1	8	41834	54006
69	1	9	41834	54006
69	1	10	36921	54006
69	1	11	36921	54006
69	1	12	32005	54006
69	1	13	27091	54006
69	1	14	1453212731	54006
69	1	15	17259	54006
69	1	16	12345	54006
69	1	17	12345	49090
69	1	18	17258	49090
69	1	19	22173	49090
69	1	20	27090	49090
69	1	21	27090	49090
69	1	22	32004	49090
69	1	23	36920	49090
69	1	24	41834	49090
69	1	25	41834	44173
69	1	26	36921	44173
69	1	27	32005	44173
69	1	28	27091	44173
69	1	29	22174	44173
69	1	30	17259	44173
69	1	31	12345	-2
69	1	32	7429	44173
69	1	33	7429	7429
69	1	34	12344	39262
69	1	35	17258	39262
69	1	36	22173	39262
69	1	37	27090	39262
69	1	38	27090	39262
69	1	39	39262	-1
69	1	40	36920	39262
69	1	41	36920	34344
69	1	42	32005	34344
69	1	43	27091	34344
69	1	44	22174	34344
69	1	45	17259	34344
69	1	46	12345	34344
69	1	47	7429	34344
69	1	48	2515	34344
69	1	49	2515	29431
69	1	50	7428	29431
69	1	51	12344	29431
69	1	52	17258	29431
69	1	53	22173	29431
69	1	54	27090	-1
69	1	55	32004	29431
69	1	56	36920	29431
69	1	57	36920	24514
69	1	58	32005	24514
69	1	59	27091	24514
69	1	60	22174	255
69	1	61	17259	24514
69	1	62	12337	-1
69	1	63	7421	24514
69	1	64	2508	24514
