lsid	reff_orn	point_orn	dx	dy
192	1	1	7428	54107
192	1	2	0	-1
192	1	3	17259	54107
192	1	4	22174	54107
192	1	5	54107	27091
192	1	6	32004	54107
192	1	7	36920	54107
192	1	8	41835	-1
192	1	9	41835	49193
192	1	10	36921	49193
192	1	11	36921	49193
192	1	12	32005	49193
192	1	13	27092	-1
192	1	14	22174	49193
192	1	15	17260	49193
192	1	16	12345	49193
192	1	17	-1	44274
192	1	18	17259	44274
192	1	19	22174	44274
192	1	20	27091	44274
192	1	21	32004	-1
192	1	22	36920	44274
192	1	23	41835	44274
192	1	24	46749	44274
192	1	25	46749	39363
192	1	26	41836	39363
192	1	27	36921	39363
192	1	28	32005	39363
192	1	29	27092	39363
192	1	30	22174	-1
192	1	31	17260	39363
192	1	32	12345	39363
192	1	33	12345	39363
192	1	34	-1	39363
192	1	35	22173	39363
192	1	36	27091	39363
192	1	37	32004	39363
192	1	38	36920	39363
192	1	39	41835	39363
192	1	40	46749	39363
192	1	41	46749	34445
192	1	42	41836	34445
192	1	43	36921	34445
192	1	44	32004	34445
192	1	45	27092	34445
192	1	46	22174	-1
192	1	47	17260	34445
192	1	48	12345	34445
192	1	49	12345	29532
192	1	50	17259	29532
192	1	51	22173	29532
192	1	52	-2	-1
192	1	53	32004	29532
192	1	54	36920	29532
192	1	55	41835	29532
192	1	56	0	0
192	1	57	46749	24617
192	1	58	41836	24617
192	1	59	-1	-1
192	1	60	32004	24617
192	1	61	27092	24617
192	1	62	22174	24617
192	1	63	17260	24617
192	1	64	12345	24617
