lsid	reff_orn	point_orn	dx	dy
48	1	1	54011	-1
48	1	2	6399	54011
48	1	3	11313	54011
48	1	4	16228	54011
48	1	5	21143	54011
48	1	6	26057	54011
48	1	7	30975	54011
48	1	8	35889	54011
48	1	9	35888	49176
48	1	10	49176	-1
48	1	11	26058	49176
48	1	12	21143	49176
48	1	13	16229	49176
48	1	14	11314	49176
48	1	15	6400	49176
48	1	16	1482	49176
48	1	17	44258	1482
48	1	18	6399	44258
48	1	19	11313	-1
48	1	20	-1	44258
48	1	21	17708	44258
48	1	22	22625	-1
48	1	23	22625	44258
48	1	24	27540	44258
48	1	25	27540	27540
48	1	26	39346	-1
48	1	27	17709	39346
48	1	28	12795	39346
48	1	29	7879	39346
48	1	30	2965	39346
48	1	31	52	39346
48	1	32	50	39346
48	1	33	50	39346
48	1	34	4964	39346
48	1	35	9879	39346
48	1	36	14796	39346
48	1	37	19709	39346
48	1	38	19709	39346
48	1	39	24625	39346
48	1	40	29539	39346
48	1	41	-1	34429
48	1	42	24625	34429
48	1	43	19710	34429
48	1	44	19710	34429
48	1	45	14796	34429
48	1	46	14796	34429
48	1	47	9880	34429
48	1	48	4964	34429
48	1	49	4964	29515
48	1	50	9879	-1
48	1	51	14796	29515
48	1	52	14796	29515
48	1	53	19709	29515
48	1	54	24625	29515
48	1	55	29539	29515
48	1	56	34455	29515
48	1	57	-1	24600
48	1	58	24600	-1
48	1	59	24626	24600
48	1	60	19710	24600
48	1	61	14796	24600
48	1	62	9880	24600
48	1	63	4964	24600
48	1	64	4964	24600
