lsid	reff_orn	point_orn	dx	dy
194	1	1	7429	54110
194	1	2	12344	54110
194	1	3	17259	54110
194	1	4	-1	6166011
194	1	5	27091	54110
194	1	6	32004	54110
194	1	7	32004	54110
194	1	8	36920	54110
194	1	9	36920	36920
194	1	10	32005	49196
194	1	11	27092	-1
194	1	12	5676933	49196
194	1	13	17260	49196
194	1	14	12345	49196
194	1	15	7429	49196
194	1	16	2516	49196
194	1	17	2516	-1
194	1	18	486880096	44277
194	1	19	-1	44277
194	1	20	17259	44277
194	1	21	22174	44277
194	1	22	22174	44277
194	1	23	27091	44277
194	1	24	32004	44277
194	1	25	32004	39366
194	1	26	32004	39366
194	1	27	27092	39366
194	1	28	22175	39366
194	1	29	39366	-1
194	1	30	17260	39366
194	1	31	12345	39366
194	1	32	7429	7429
194	1	33	486880096	34448
194	1	34	-2	-1
194	1	35	17259	34448
194	1	36	22174	34448
194	1	37	-1	-1
194	1	38	32004	34448
194	1	39	32004	34448
194	1	40	36920	34448
194	1	41	36920	29535
194	1	42	32005	29535
194	1	43	27092	29535
194	1	44	22175	29535
194	1	45	17260	29535
194	1	46	12345	29535
194	1	47	7429	29535
194	1	48	7429	29535
194	1	49	7429	24620
194	1	50	24620	12344
194	1	51	17259	24620
194	1	52	22174	24620
194	1	53	24620	27091
194	1	54	2097470112	24620
194	1	55	-1	1613553902
194	1	56	41835	24620
194	1	57	41835	19702
194	1	58	41835	19702
194	1	59	36921	19702
194	1	60	32005	19702
194	1	61	-1	19702
194	1	62	22175	19702
194	1	63	17260	19702
194	1	64	12345	19702
